020001最年輕的男  999 999999902    02122719465019584300091252008  2 100146030302031                                                                                                                                                                      92020203980203039897980202029803030405040201050202050302010396990802640104602999999049999991199999999999999999999999999999999999999050101
020011唯一合格女  999 999999902    02122720570421113500091203035  1 300019030201011                                                                                                                                                                      92029802970203030304040303020401040505040104050398980498020302019901530204302999999109999999999999999990599999999999999999999999999980201
020018唯一合格男  999 999999902    02122719474219583600091252020  2 100114030101011                                                                                                                                                                      92020202020303030502020202020303030505030203010203040498030396990802520205302999999039999109999999999999999999999999999999999999999950101
020021最年輕的男  999 999999902    02122719480620001000090252016  1 100077030504051                                                                                                                                                                      92020203029702040404040103020304030505040202960202960396020202029901670206701999999219999999999999999999999999999999999999999029999050101
020023唯一合格女  999 999999902    02122719481020055600091203035  1 300019030201012                                                                                                                                                                      92029797020497040597979702989803030505040302050203110402030302019901550203903106999179999999999999999999999999999999904999999999999980201
020024最年輕的女  999 999999902    02122721415921551700089307024  2 300008030402041                                                                                                                                                                      92020202040402040504040101040302030202040304030404040301030101029902650404901106999089999999999999913999999999999999999999999999999020201
020026最年輕的男  999 999999902    02122719481720135700090202006  1 300004030302031                                                                                                                                                                      92010103020202020302010304010403040303010404050302029898030202029902360304214999999069999999999089999999999999999999999999999999999060101
020032唯一合格男  999 999999902    02122719491020005600091252009  1 100068030201011                                                                                                                                                                      92020101040202010604040303020404030505010203030301050401030104019902590203602999999039999079999999999999999999999999999999999999999090101
020037最年長的男  999 999999902    02122719493120280500089101015  2 100087030502012                                                                                                                                                                      01020202030202970698020202010301030505030204050401970205910307990802250202501999999029905999999999999999999999999999999999999999999010102
020042唯一合格女  999 999999902    02122719501320022200091252014  1 100080030201012                                                                                                                                                                      92029803030404030301030203020303030302040303020403010301030104029903470305206999999039999079999999999999999999999999999999999999999040201
020044最年長的男  999 999999902    02122719502920122600091260016  2 100080030704012                                                                                                                                                                      04020298040398979797979797979797979805989897059897049898989807990801370202905999602129999999999999999999999959999999999999999999999980104
020048唯一合格女  999 999999902    02122719505120031000091256006  2 200024030201012                                                                                                                                                                      92029803970303020602039802029802030305020398020302010398020207990801540203901501999119999999999999999999918999999999999999999999999010201
020056最年輕的女  999 999999902    02122719514420054700091203043  1 200035030200021                                                                                                                                                                      92020203980201010504040203010302030403040202050302080305010207990802710305401999999039999099999999999999999999999999999999999999999010201
020057最年輕的女  999 999999902    02122719520120045600090206032  2 100062030502051                                                                                                                                                                      92020203010204040501040104030403030505040204050404060302020396990801670206901302999039999019999999999999999999999999999999999999999080201
020058唯一合格男  999 999999902    02122719520620062800090202015  1 100223030101011                                                                                                                                                                      06010296010404010301010304020204010402010404050402960201030101019903360206104999999039999039999999999999999999999999999999999999999100101
020071最年輕的男  999 999999902    02122719532720050800090260020  2 100113030503051                                                                                                                                                                      92020202010297040302040203020404040505020303020301020202030301029902650304214999999039999079999999999999999999999999999999999999999090101
020099唯一合格女  999 999999902    02122719565920173900089205099  2 300014030201011                                                                                                                                                                      92020102010101010401040101979702030202010404050301010396020207990403520106501999999089999999999999911999999999999999999999999999999020201
020104最年長的女  999 999999902    02122720311420424400091252005  2 100345030100011                                                                                                                                                                      92020404040304030303040202020302030303020303010302090303030302029901540203602999999119999999999999999999931999999999999999999999999070201
020119唯一合格男  999 999999902    02122721311621434400091252005  2 100345030201012                                                                                                                                                                      01010101020103010501030204020102010202010403020302030302030101029902540206104999999639999999999999999999999999999999999999999991099100201
020136最年輕的女  999 999999902    02122720005520140200090302036  2 100056030301032                                                                                                                                                                      92029603020202020401040101020204010505020402020102040202030107990802600207302999999010599999999999999999999999999999999999999999999980201
020138唯一合格男  999 999999902    02122720011120205000089208065  1 100087030201012                                                                                                                                                                      01020102030204020503030403030403030405040103019703050405010101019997480306905999104189999999999999999999999999999999999019999999999020101
020148唯一合格女  999 999999902    02122720021420150900091252005  2 100345030201012                                                                                                                                                                      92020101010101010301010303020303020202020303030301040101030104019902500406211999999189999999999999999999999999999999999019999999999060201
020152唯一合格女  999 999999902    02122720023920123000088303098  1 100200030201011                                                                                                                                                                      03010202020102030502020204020203020305020403050402010197030207990802490305901301999639999999999999999999999999999999999999999991199060201
020169唯一合格男  999 999999902    02122720044020414600091252014  1 100080030201011                                                                                                                                                                      92029898040404989696969801039698980496020302980297050202050302029901480202602999999079999999999990299999999999999999999999999999999020102
020170最年輕的男  999 999999902    02122720044820165500091256006  2 200024030603061                                                                                                                                                                      92020498030303970403040298980302040305039802050202980303030207990801640205214999999129999999999999999999999099999999999999999999999980101
020179唯一合格男  999 999999902    02122720052420180700091252009  1 100068030201011                                                                                                                                                                      92010201040304020101010403010304030302010401030402040197030301029902630206106999999010499999999999999999999999999999999999999999999980101
020182最年長的男  999 999999902    02122720054020192100091260011  2 100064030403012                                                                                                                                                                      04020202010102030301030204020304020505030403040401010102030107990802410204302999999639999999999999999999999999999999999999999991299070101
020183唯一合格男  999 999999902    02122720054320144900090206046  1 100078030101011                                                                                                                                                                      11010197020201010602030203010301030505030304050303040401030207990803450306105999999069999999999199999999999999999999999999999999999100104
020185唯一合格男  999 999999902    02122720054920210300089202043  1 300012030201011                                                                                                                                                                      92960398989803980598989898989898989898989898969898989898989898990802460202501999999109999999999999999990599999999999999999999999999010104
020187唯一合格男  999 999999902    02122720060120393000091203035  1 300019030301012                                                                                                                                                                      92020404040404020503040101010401040204040204050201960303030402019901450203905999601129999999999999999999999039999999999999999999999030104
020191最年長的女  999 999999902    02122720061220215500088651046  1 100079030503012                                                                                                                                                                      92020202040304030501030401010201010305040303050301010401030101019902420305905999204639999999999999999999999999999999999999999991299090201
020196唯一合格男  999 999999902    021227200645202720000911120    2 2028.5030401011                                                                                                                                                                      92020203030204020596030102960403030596030303020303010302030321990802660205302999999639999999999999999999999999999999999999999991299060101
020199唯一合格女  999 999999902    02122720070720195400090202015  1 100223030403011                                                                                                                                                                      92029703040404040497040101979797989803040298019898970498029795990801470202302999999010699999999999999999999999999999999999999999999020201
020225唯一合格男  999 999999902    02122720104520223500091203043  1 200035030201011                                                                                                                                                                      92020404040304030502040102020304030303040401010203050304010302019901600204302999999199999999999999999999999999999999999990399999999060101
020230唯一合格女  999 999999902    02122720452221072800091252012  1 100072030603012                                                                                                                                                                      92029898030203989595039898030204020305960298050203989602029595990802430205901104999010199999999999999999999999999999999999999999999950201
020236唯一合格男  999 999999902    02122720115520351500091202012  2 200023030201012                                                                                                                                                                      92029802030202030301010204020204020502020404030404019698030207999602360204501999999069999999999189999999999999999999999999999999999010101
020246唯一合格女  999 999999902    02122720124120250800088303098  1 100200030201011                                                                                                                                                                      01020203040204010502040104020304010205030401050402020405030307990802460105104999999049999990299999999999999999999999999999999999999100201
020254唯一合格男  999 999999902    02122720135620284200091252008  2 100146030201011                                                                                                                                                                      92020404040404030603040101020304030503040103010101050498020396990801610203602999999109999999999999999990499999999999999999999999999050102
020255唯一合格男  999 999999902    02122720141920233400091252012  1 100072030201011                                                                                                                                                                      92029702020202030601040203030203020505030404030203010204020402019902680203602999999119999999999999999999931999999999999999999999999040101
020256唯一合格女  999 999999902    02122720142520262100090252016  1 100077030201011                                                                                                                                                                      92010404030404030204040101020496040396040303010101080403020302029901530206901204999639999999999999999999999999999999999999999991199070201
020272唯一合格女  999 999999902    02122720160720301000091252005  2 100345030100011                                                                                                                                                                      02020303030303030398030203010303030305030302010303020301020201029902250305905999203199999999999999999999999999999999999990199999999040201
