690003最年輕的男  999 492094801    04050118423418553900089205065  2 1111.5010302032                                                                                                                                                                      0202020101050204010302040201030401050204005020229903030403019799089702670105905069999999999209999999999999999999999999999999999050101
690017唯一合格女  999 431091101    04050118424918522900090202045  1 1346.5010201011                                                                                                                                                                      0002039801050203020302040203020302980104006020210204040501020402990502500107102179999999999999999999999999999999906999999999999100201
690032唯一合格女  999 939091501    04050118432419050500090205106  1 3016.5010100011                                                                                                                                                                      0302039801030102020202040398030302049604006039610296030501020401990502240305906639999999999999999999999999999999999999999990899980201
690048最年長的男  999 492087101    04050119391120221200092203041  2 200040010201011                                                                                                                                                                      0402960201969604969696960404040396020396005029619502969603029699969502329502106069999999999989999999999999999999999999999999999950102
690057最年長的男  999 672069701    04050119360319545000090303085  1 300016010301032                                                                                                                                                                      0302049898030204010301030302020396050204005039810296040402020101991702250205906010199999999999999999999999999999999999999999999950101
690076最年長的男  999 584088201    040501184623190225000200018    2 1068.5010502012                                                                                                                                                                      0002980298060203020201980302040402010304098020219503030396010502990402470201401099999999999999999099999999999999999999999999999020104
690087唯一合格女  999 253082201    040501184657190007000100008    1 100136010201011                                                                                                                                                                      1102019801030102950403040202020402959604003029619503030501020101990502520205303010199999999999999999999999999999999999999999999090201
690144唯一合格女  999 885124201    04050118512219241600092204032  2 1092.5010302011                                                                                                                                                                      0002049802030101030398030101020202010101001030310204040401980102990203340102302079999999999991199999999999999999999999999999999040204
690149唯一合格男  999 578184101    040501190807191441000200020    2 1339.5010200021                                                                                                                                                                      0102960201030101020401040101020402960104005039610205050301010101990502270106906639999999999999999999999999999999999999999990199950101
690150最年長的女  999 536102601    04050118514819052500091507022  1 1096.5010603012                                                                                                                                                                      0001960201060104020302030303970202040204004020210203030403020402990502630205302189999999999999999999999999999999999029999999999090201
690163唯一合格女  999 873192601    040501202515204019000100008    1 100136010706011                                                                                                                                                                      0102019898020404010298019896049898099897097039710102989698980201990101160202906639999999999999999999999999999999999999999991299980202
690218最年輕的女  999 936103301    04050118570019123900090202045  1 1346.5010301031                                                                                                                                                                      0201030101030102020403040202040202060104005030310205050501980402990502350306906639999999999999999999999999999999999999999990899070201
690225最年長的男  999 983178501    04050118573919190100090202009  1 1187.5010503012                                                                                                                                                                      0002989898989898989898989898989898989898098989810297980398989899989801190402501149999999999999999999999999908999999999999999999010101
690241最年輕的男  999 235196901    04050121364321502000092302043  1 1091.5010904091                                                                                                                                                                      0102960102040404010101010404040401020201005030210102960204010502990101440202905219999999999999999999999999999999999999999049999020104
690247最年輕的男  999 269118701    04050120162620314400091601145  2 1063.5010101011                                                                                                                                                                      0002010201060201020402020204020201050204005020210201030304010699080602650204602109999999999999999990799999999999999999999999999100104
690261唯一合格男  999 265221001    04050118595619100800087601117  1 100172010101011                                                                                                                                                                      0001039801030104040402040302030402010304000020319503030401010799080702650206302011399999999999999999999999999999999999999999999030101
690288最年長的女  999 986263601    04050121500522135500089205065  2 1111.5010502051                                                                                                                                                                      0002020202060103019602030202030198010104005020210203030398011999089602399804301010299999999999999999999999999999999999999999999070201
690289唯一合格女  999 811217501    04050119020519221200092401060  1 1060.5010302012                                                                                                                                                                      0002989898060204980298980398030302010303098039819598989898980799089602500202901649999999999999999999999999999999999999999999909010204
