010004唯一合格男  999 999999901    05052718435419013900090205046  1 300020020201012                                                                                                                                                                      0002020008040195010103010298959501050101010503040302040102040104980501990101400205995639999999999999999999999999999999999999999990399090101
010005唯一合格女  999 999999901    05052919423219541100092260019  1 100132020100011                                                                                                                                                                      0002980205060198980202039801980303010195019802030303989804030204989599959703450204104649999999999999999999999999999999999999999999902040201
010013最年輕的男  999 999999901    05052918581219071500092203006  2 100234020201012                                                                                                                                                                      0002980305030202010398030201030405020299029903030303010304029804010102990502620206104649999999999999999999999999999999999999999999904040101
010015最年長的女  999 999999901    05053019220919393300090601226  2 100183020703012                                                                                                                                                                      0102020006060404010103030105030300070101010203020302040401040104010201999501410204105039999019999999999999999999999999999999999999999950201
010017最年輕的男  999 999999901    050531182657183953000200048    1 100070020402041                                                                                                                                                                      0002010505050101969802030205030407030198029901030103020398980104980799080701730305701069999999999179999999999999999999999999999999999980101
010020最年長的男  999 999999901    05052718441019014900093252009  2 100085020402012                                                                                                                                                                      0002019800030101980402040296010409030299010198040404010303010202980102990202650205501139999999999999999999999990599999999999999999999980101
010028最年長的男  999 999999901    050527190441191631000200036    1 100096020606012                                                                                                                                                                      1101960598050204020402040101030400050195019598020203010404960104980899960503300203906079999999999990199999999999999999999999999999999980102
010029唯一合格女  999 999999901    05052718442918555900093252017  1 100053020201011                                                                                                                                                                      0002019705030103030396040201030410000299029903040504980304010201020102990203520203904639999999999999999999999999999999999999999991099040201
010032唯一合格女  999 999999901    05053120090520240700090206026  2 100526020201011                                                                                                                                                                      0002010505050204020302040201010310030102019803960403970304020202980102990502450203106079999999999990299999999999999999999999999999999950201
010034唯一合格男  999 999999901    05052721282121410900091205110  2 100375020402041                                                                                                                                                                      1101010502030101010402049696960407000195029903040303020404960104030101990502580205995119999999999999999999916999999999999999999999999950101
010036唯一合格女  999 999999901    050527184502190634000200053    1 100062020201011                                                                                                                                                                      0002979898050202020202040204030109080195019502020396020304980104029599089602550304401639999999999999999999999999999999999999999999599060201
010067最年輕的女  999 999999901    05053121142421251000090206026  2 100526020301011                                                                                                                                                                      0102020003040204020101040201010308030101010203030403020102030203020102990402510205105119999999999999999999909999999999999999999999999950101
010070最年長的男  999 999999901    05052718464618572800093252011  1 100316020502012                                                                                                                                                                      0001010504030102020302040205010408000102010103030403010403020203020102990502470206102649999999999999999999999999999999999999999999905100101
010077最年輕的女  999 999999901    05052919502320032800093207334  2 100045020301031                                                                                                                                                                      0002970405050203020302980195030405060102029998010102010302040204040102990401690406302049999990299999999999999999999999999999999999999980201
010081唯一合格女  999 999999901    05052719374619544500090202045  1 100432020302011                                                                                                                                                                      0302010598060103020302030201030408030102010104020398020404040403980101990501440103501159999999999999999999999999999079999999999999999020204
010082唯一合格男  999 999999901    05052718471818593500091207240  1 200042020101011                                                                                                                                                                      0002010506040204020202040202030408030102010403040303010304030104010102990501640205303010199999999999999999999999999999999999999999999100101
010085唯一合格女  999 999999901    05053119242119352700093252017  1 100053020100011                                                                                                                                                                      0002020002040404010102980201030405050101010704020103970302020103030799080101500202904169999999999999999999999999999990199999999999999020201
010086唯一合格男  999 999999901    05052719065219172200090205096  2 200032020201012                                                                                                                                                                      0002010505050203020402040298030410050299029902030303020201030103029799089801710204401119999999999999999999927999999999999999999999999010101
010087最年輕的男  999 999999901    05052918564219154900092260019  1 100132020403042                                                                                                                                                                      0102020206020404010201010106030296050101010203030302040102030303980201990401380206906639999999999999999999999999999999999999999990499070102
010101唯一合格男  999 999999901    050530202535202813000200054    1 100059020402041                                                                                                                                                                      0002980098060202020402040205010405020299029996040404010404020203980799080503390205301159999999999999999999999999999039999999999999999950101
010114最年輕的女  999 999999901    05052718493319034000090205045  2 100114020402041                                                                                                                                                                      1202010505050202030402040204010406040102010403030303010303010102030102990503590305207039999029999999999999999999999999999999999999999080201
010118唯一合格女  999 999999901    05052718494919004200093261013  1 100066020201011                                                                                                                                                                      0102010707030101020302040201960408020102010102020303010404020104040101990202480104901010399999999999999999999999999999999999999999999070201
010119唯一合格女  999 999999901    05052719572420141200091252020  2 100244020302011                                                                                                                                                                      0002989898989804989898989898989898980198029998989898989898989898989899089898210201901989999999999999999999999999999999999999999999999010202
010133唯一合格女  999 999999901    05053120343420385200092252004  1 100198020201012                                                                                                                                                                      0002010606050202030302030204020405059299929996980498020303980298030799080202520204901649999999999999999999999999999999999999999999902050201
010137最年長的女  999 999999901    05052821531022173100091205027  1 100164020200012                                                                                                                                                                      0002020004040404010296040205039696960195989996050403980402960203969699960401460202602219999999999999999999999999999999999999999049999020204
010140唯一合格女  999 999999901    05053121591322094200092252013  1 100136020201012                                                                                                                                                                      0002010303049804020202020205039803060101010203040203020404040104010202990502630106104189999999999999999999999999999999999019999999999030101
010142最年輕的女  999 999999901    050527185140190234000200054    1 100059020602061                                                                                                                                                                      0002010305040404010102030202010105050101010202030203030302040104030201990401710206401179999999999999999999999999999999906999999999999980201
010148唯一合格男  999 999999901    05052718520119265100091205027  1 100164020101011                                                                                                                                                                      0002020006040404010201010197030498050101010298020202030402040204020201990401130206906010999999999999999999999999999999999999999999999010104
010154唯一合格女  999 999999901    05052718523719064700090205096  2 200032020201012                                                                                                                                                                      0002020305040304020198989801039805080101010203030303970303040204980799080701490104903139999999999999999999999999599999999999999999999950201
010159唯一合格女  999 999999901    05052718531419044400092203006  2 100234020201011                                                                                                                                                                      0002980206050204020202030196030205060195019803020202030302030203019699080401570204903079999999999992199999999999999999999999999999999050201
010164唯一合格女  999 999999901    05052919453319571400092206033  1 300008020201011                                                                                                                                                                      1201010706050303020202040201010205070102029903020503020201040104020101990202570304302011099999999999999999999999999999999999999999999090201
010168最年輕的女  999 999999901    05052718542819074200092260001  1 200034020402041                                                                                                                                                                      0001010802050101020202040204010405000102010101030404010303020102040102990503560205903010199999999999999999999999999999999999999999999070201
010200最年輕的女  999 999999901    05052718565319083000093252019  1 100070020401041                                                                                                                                                                      0002010508050204020302030298030305080102029903030304030303020102030102990501700305401010499999999999999999999999999999999999999999999090201
010205唯一合格男  999 999999901    05052919443619534100093207336  2 100062020301011                                                                                                                                                                      0002020000040104010202040201010205020299029903030303030104989803040799070401620206104209999999999999999999999999999999999999901999999050101
010219最年長的女  999 999999901    05052720085420244000090202045  1 100432020301032                                                                                                                                                                      0102980405050298989801989898030398980195010596030403989896989698980502999802310204302639999999999999999999999999999999999999999991299020201
010221最年輕的女  999 999999901    05052718581519125800092202044  1 100106020703071                                                                                                                                                                      0001010506050204020202040298030305050102029903030503030404030201010799080701720204302079999999999991199999999999999999999999999999999100201
010239唯一合格男  999 999999901    05052719090419101700092252004  1 100198020201012                                                                                                                                                                      1202019797050203020302030298020305050102029903030303029803980298010102990502499595995959999999999999999999999999999999999999999999999950101
010240最年輕的男  999 999999901    05052820030920292800092202044  1 100106020101011                                                                                                                                                                      0002020505060295960204950208020205010102010105030403020204030204029699080703630204501129999999999999999999999049999999999999999999999980104
010244唯一合格女  999 999999901    05052719001819113600093252011  1 100316020201012                                                                                                                                                                      0002020004040404010301030106020405050101010203030304040401040403010202990101400204302219999999999999999999999999999999999999999049999010204
010247唯一合格男  999 999999901    05052721034221173000091207240  1 200042020201011                                                                                                                                                                      0001020500060101040402040208010410000102010401030503010404010103020101990502420203104089999999999999904999999999999999999999999999999040101
010252唯一合格男  999 999999901    05052719010219182900093252018  1 100064020201011                                                                                                                                                                      0201010507060104020302030207020406030102010402020403010303040204020102990502550306104649999999999999999999999999999999999999999999906080101
010253唯一合格女  999 999999901    05052720294920435100091252020  2 100244020503051                                                                                                                                                                      0002010609060204030401030209030410000102029903040403020304030304030101990502570204401039999019999999999999999999999999999999999999999060201
010257最年輕的男  999 999999901    05052719012519111100093252505  2 100267020302031                                                                                                                                                                      0002010506040204960202030201030410050101029998030302030204030203030202990101660205701199999999999999999999999999999999999990899999999980101
010264唯一合格男  999 999999901    05052720034820183900091207240  1 200042020201011                                                                                                                                                                      0002010706060203030301040298030409050102010103030503010404040204030102990202550203106099999999999999999079999999999999999999999999999050102
010269唯一合格男  999 999999901    050527190336192222000200048    1 100070020101011                                                                                                                                                                      1102010806060101010302010201010405000299029905030303010404020103960101990503130301801129999999999999999999999019999999999999999999999010101
010281唯一合格男  999 999999901    05052719031519131700093261013  1 100066020401011                                                                                                                                                                      0002020205020304020201030201020103030101010202040403030101040104040201990101420205602219999999999999999999999999999999999999999049999060101
010282唯一合格女  999 999999901    050527190315191704000200025    2 100076020302011                                                                                                                                                                      0002980098049896020298039897960302980103010203040303980298989898020202990402420102501159999999999999999999999999999069999999999999999980201
010284唯一合格男  999 999999901    05053119015619112100092252013  1 100136020200021                                                                                                                                                                      0002010905030101010402040201010410000102010403030303010404020203010101990503390306906129999999999999999999999189999999999999999999999100101
010297唯一合格女  999 999999901    05052719044519150000092203006  2 100234020100011                                                                                                                                                                      0002981098010101010198019898030100980198010103030503010104040404980101990202680302401649999999999999999999999999999999999999999999904020201
010299最年輕的男  999 999999901    05052719054219202300091205110  2 100375020603061                                                                                                                                                                      0002970000069803010203030205020305050299029903030303960203030202020799080402670204602199999999999999999999999999999999999990599999999100104
010301唯一合格女  999 999999901    05052719045919220900093252017  1 100053020201012                                                                                                                                                                      0002989898989898019898989898029898980101019898989898989898039898980202990401300201501109999999999999999991499999999999999999999999999010202
010315最年輕的男  999 999999901    05052820094320190100087503234  2 100139020402041                                                                                                                                                                      0098010405050202020204030205010305020299029903030203979703030203020799080401720206701219999999999999999999999999999999999999999019999980101
010321最年輕的女  999 999999901    050527190645191742000200054    1 100059020402041                                                                                                                                                                      0001010505050203020302030201010306050299029903030203030202030203020402999801710106701011399999999999999999999999999999999999999999999980201
010331唯一合格男  999 999999901    05052719074719230500092260001  1 200034020201012                                                                                                                                                                      0102020306040204020201010205030405050101010503030302020303020103980502990402500104602039999119999999999999999999999999999999999999999070101
010343唯一合格男  999 999999901    05052719085819244500090205045  2 100114020201011                                                                                                                                                                      1202020308040404010101979602030102070101010203030302040102040304020202990401410104213649999999999999999999999999999999999999999999905040101
010380唯一合格男  999 999999901    05052919415519570900092306012  1 300008020201011                                                                                                                                                                      0002010507040104010102010202030405070102010102020303010404030103040102990501520203401079999999999992199999999999999999999999999999999030101
010392最年輕的女  999 999999901    05052721211321344600093252019  1 100070020201011                                                                                                                                                                      0002010408050101020402040204020405050299010101030403010403030204040101990201690206302029905999999999999999999999999999999999999999999980201
010393唯一合格女  999 999999901    05052719133519304500093252011  1 100316020504011                                                                                                                                                                      0002010507970297979798040106020405000195019502989698029703020203980102990501410201602010299999999999999999999999999999999999999999999030204
010407最年輕的男  999 999999901    05052719152519261800092252013  1 100136020302031                                                                                                                                                                      0002970101050304020201960204020405050101010403040403020204020204030799089797570204501149999999999999999999999999901999999999999999999980101
010412最年輕的女  999 999999901    05052720100120241800092203006  2 100234020201011                                                                                                                                                                      0001020510030203020202030104030300000101010203030203030201030102020202990101610304901011499999999999999999999999999999999999999999999030201
010419最年輕的女  999 999999901    05052719163019234900092252004  1 100198020402041                                                                                                                                                                      0001010304060404010102970201039707070299029903030204970201030204020202990401670205302039999019999999999999999999999999999999999999999100201
010420最年輕的女  999 999999901    05052719311719331300093252019  1 100070020402041                                                                                                                                                                      0102010507050103010403020108030407050101010203030203030303020202020202999502720104905010199999999999999999999999999999999999999999999100201
010425最年長的女  999 999999901    05052919494320024900093252505  2 100267020603012                                                                                                                                                                      0002020007020404010298960102030300070101010298040398049801030198020201990401380204901011199999999999999999999999999999999999999999999010204
