700001唯一合格女   07 999999902    08022319353919373200096207342  2 300020010201011                                                                                                                                                                      0102020005020404010100100104010103019201959292929204040104010401040799080702250402029012069991299999999999999999999991499999999999999999999990201
700009最年輕的女  042 999999902    08022319195519315100096207322  2 300016010200021                                                                                                                                                                      0002010305050102020202040204020403040201020202020202040302010403040799080202750502022039999990699999999991099999999999999999999999999999999990201
700027唯一合格女  042 999999902    08022421132321285200094601224  2 300090010100011                                                                                                                                                                      0002010506050203980304009802021203039801029898989804989602020296030799080702560302026029999990699999999991499999999999999999999999999999999990201
700044唯一合格女   03 999999902    080223193843194023000200081    1 300378010100011                                                                                                                                                                      0002010006020404010300060202020103010101020101910104040104010402010201990401610402026029999991899999999999999999999999999999999990399999999990201
700047最年輕的男   04 999999902    080223194754194835000100020    1 200375010502051                                                                                                                                                                      0002980502040404010101050304029803049801020201989897030204010496980799080402550402029959999990799999999999910999999999999999999999999999999990101
700049唯一合格男   03 999999902    08022319214719452200092207243  2 200093010401011                                                                                                                                                                      0002020007020104010100090101019803010101010101019804010296020301010201990101270102029069995011899999999999999999999999999999999990199999999990102
700068唯一合格女  049 999999902    080224185004190302000200076    1 200138010201011                                                                                                                                                                      0002020205020404010102060303020202020101020101010104040204010402040201990101620604042079999990899999999999999019999999999999999999999999999990201
700099唯一合格女    2 999999902    08022418493518593600096504045  2 300090010201011                                                                                                                                                                      0002020005040204010100100204020403010102990292010204030104010401010201990401660604043029999996399999999999999999999999999999999999999999901990201
700103最年輕的女  042 999999902    08022319242019343400095206031  1 200168010301031                                                                                                                                                                      0002010404050204010405040204020403030201029802020202020202010301030102990501710602032049999990699999999991999999999999999999999999999999999990201
700115最年輕的女   05 999999902    08022419024919040800096207431  2 300008010402041                                                                                                                                                                      0202010403050202020303030104020203040102990201020204030402010404020202990403630402029012149990999999999999999990899999999999999999999999999990201
700119最年長的女  042 999999902    08022319245019395200090202022  1 300306010402012                                                                                                                                                                      0302010608060103029705020203029802049501020202980201030302020303030799089803420502029011059991999999999999999999999999999999999999904999999990201
700122唯一合格男   05 999999902    08022319250819421800096252024  1 300062010201011                                                                                                                                                                      0002020005050303010100030304020503039898999101919104049504960496040799080601630402023029999991099999999999999999914999999999999999999999999990101
700134最年長的女   07 999999902    08022421432921525000095209025  1 200053010101011                                                                                                                                                                      1101010606020404040408080204020103019801989696960201040202010101010202990402460502022079999996499999999999999999999999999999999999999999999110201
