LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,13.30635,
AUS,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,13.10064,
AUS,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,12.63381,
AUS,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,12.5842,
AUS,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.76579,
AUT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,10.275,
AUT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,10.575,
AUT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,11.2,
AUT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,9.8,
AUT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,9.4,
BEL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,23.3,
BEL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,22.1,
BEL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,20.125,B
BEL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,19.3,
BEL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,15.85,
CAN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,13.45,
CAN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,13.175,
CAN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,13.08333,
CAN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,11.625,
CAN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.075,
CZE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,15.825,
CZE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,12.55,
CZE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,10.475,
CZE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,7.95,
CZE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,6.725,
DNK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,12.625,
DNK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,10.85,B
DNK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,11.975,B
DNK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,11.05,
DNK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,9.375,
FIN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,20.35,
FIN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,22.025,
FIN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,19.875,
FIN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,19.8,
FIN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,16.75,
FRA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,24.225,
FRA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,24.675,
FRA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,24.6,
FRA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,22.3,
FRA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,20.775,
DEU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,7.75,
DEU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,7.25,
DEU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,7.05,
DEU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,6.775,
DEU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,6.2,
GRC,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,52.425,
