year ,total_export,total_export_taiwan
1991,7184300,
1992,8494000,
1993,9174400,
1994,12100600,
1995,14878000,
1996,15104800,
1997,18279200,
1998,18371200,
1999,19493100,386890
2000,24920300,503900
2001,26609800,500024
2002,32559600,658572
2003,43822800,900409
2004,59332600,1354443
2005,76195300,1654956
2006,96897800,2073308
2007,122006000,2345980
2008,143069300,2587706
2009,120161200,2050126
2010,157775400,2967449
2011,189838100,3510894
2012,204871400,3677743
2013,220900400,4063405
2014,234229300,4627662
2015,227346800,4489247
2016,209763100,4024120
2017,226337100,4397853
2018,248740000,
